SplitID,Threads,VDD,TechType,Channel_UCS,SelectiveGate,Type,Xucs_Crystal,Zucs_Crystal,Sl_GPa,Sw_GPa,Sh_GPa,GeMoleCh,GeMoleSD,Nstop,Nsde,Nch,Tiox,Thfo2,Tspacer,W,H,Lg,Temperature,SiOCN_perm,iOxide_perm,HfO2_perm,WF_init,deltaVGATE,semi_name,vert_semi,horiz_semi,ox,WF,dg_coeff,Vd,Vg,peak_posX,peak_posY,TargetPoints,Parent_Path,rect_mesh_node,DG_target_node,DG_error,Ninv_error,vert_semi_opt,horiz_semi_opt,ox_opt,WF_opt,dosFin,dosStop,mnFin,mnStop,alpha1_Fin,alpha2_Fin,alpha3_Fin,alpha1_Stop,alpha2_Stop,alpha3_Stop,TotalMCsimTime,IDLIN_MC_uA,IDSAT_MC_uA,IOFF_MC_nA,VTL_MC_mV,VTS_MC_mV,SSlin_MC_mVdec,SSsat_MC_mVdec,genopt_RMSDCost,NinvOn_error,deltaVt_Target_V,WF_gmc_Ioff
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,67  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,85h_57m_17s,28.4,x,x,-151.4,x,53.2,x,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,67  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,68  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,72  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,66  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,67  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,64  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,65  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,66  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,68  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,70  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,142h_40m_35s,x,62.9,3.38e+00,x,-111.0,x,55.9,0.034497982092651057,13.4,0.0855,4.692
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,70  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,71  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,82  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,90  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,100  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,107  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,114  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,121  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,13477  sec,,,,,79  sec,1  sec,,125  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00217879631226,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,74,4.7,0.5,0.0966,1.6872,0.1424,4.7590,1.2613e+19,1.2613e+19,0.8140,x,8.4260,0.4824,0.1628,8.4260,0.4824,0.1628,,,,,,,,,0.034497982092651057,13.4,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,155h_58m_51s,16.5,x,x,-87.8,x,99.7,x,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,56  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,60  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,56  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,57  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,56  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,62  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,138h_34m_58s,x,52.1,2.10e+02,x,-18.2,x,118.6,0.05013508349691817,5.2,0.3941,4.384
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,62  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,63  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,67  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,71  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,76  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,79  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
,,,,,,,,,,,,,,,,,,,,,,1523  sec,,,,,,12042  sec,,,,,79  sec,2  sec,,82  sec,-0.0228000003844,-0.00124999997206,0.0 0.00124999997206 0.00220169349061,/nfs/pdx/disks/icf_sandp_gwa001/changyok/swb/SNPS_DTCO/TRD2/20201220/BIC2022/1-AdvancedTransport/1.07-BIC2022_FinFET_ALDHKMG_TCAD_SRAM_Nominal_Temperature,44,75,6.9,1.1,0.1336,0.5893,0.1376,4.7283,2.9246e+19,2.9246e+19,0.8348,x,6.2483,1.4166,0.1670,6.2483,1.4166,0.1670,,,,,,,,,0.05013508349691817,5.2,,
